Moscow,New-York,1815
Moscow,Frankfurt,535
Moscow,Washington,1577
Moscow,London,136
Moscow,Paris,387
Moscow,Tokyo,1980
Moscow,Tashkent,150
Moscow,Istanbul,141
Moscow,Helsinki,114
Moscow,Rome,133
Moscow,Miami,1091
Moscow,Zurick,270
New-York,Moscow,1815
New-York,Frankfurt,935
New-York,Washington,95
New-York,Nashville,109
New-York,London,765
New-York,Portland,171
New-York,San-Francisco,139
New-York,Paris,330
New-York,Tokyo,873
New-York,Chicago,40
New-York,Istanbul,1085
New-York,Helsinki,1297
New-York,Honolulu,312
New-York,Rome,422
New-York,Miami,77
New-York,Zurick,899
Frankfurt,Moscow,535
Frankfurt,New-York,935
Frankfurt,Washington,1467
Frankfurt,London,79
Frankfurt,Portland,685
Frankfurt,San-Francisco,658
Frankfurt,Paris,108
Frankfurt,Tokyo,1282
Frankfurt,Chicago,582
Frankfurt,Istanbul,140
Frankfurt,Helsinki,237
Frankfurt,Rome,166
Frankfurt,Miami,619
Frankfurt,Zurick,136
Washington,Moscow,1577
Washington,New-York,95
Washington,Frankfurt,1467
Washington,Nashville,59
Washington,London,939
Washington,Portland,75
Washington,San-Francisco,75
Washington,Paris,890
Washington,Tokyo,1930
Washington,Chicago,41
Washington,Istanbul,1099
Washington,Helsinki,1501
Washington,Honolulu,311
Washington,Rome,899
Washington,Miami,50
Washington,Zurick,1467
Nashville,New-York,109
Nashville,Washington,59
Nashville,London,1180
Nashville,Portland,174
Nashville,San-Francisco,131
Nashville,Tokyo,692
Nashville,Chicago,49
Nashville,Miami,73
London,Moscow,136
London,New-York,765
London,Frankfurt,79
London,Washington,939
London,Nashville,1180
London,Portland,717
London,San-Francisco,441
London,Paris,68
London,Tokyo,1564
London,Chicago,411
London,Istanbul,69
London,Helsinki,348
London,Rome,70
London,Miami,418
London,Zurick,54
Portland,New-York,151
Portland,Frankfurt,685
Portland,Washington,75
Portland,San-Francisco,89
Portland,Chicago,89
Portland,Honolulu,224
Portland,Miami,124
San-Francisco,New-York,139
San-Francisco,Frankfurt,658
San-Francisco,Washington,75
San-Francisco,Nashville,131
San-Francisco,London,441
San-Francisco,Portland,89
San-Francisco,Paris,1284
San-Francisco,Tokyo,1026
San-Francisco,Chicago,89
San-Francisco,Istanbul,1184
San-Francisco,Helsinki,1280
San-Francisco,Honolulu,180
San-Francisco,Rome,1073
San-Francisco,Miami,169
San-Francisco,Zurick,1584
Paris,Moscow,387
Paris,New-York,330
Paris,Frankfurt,108
Paris,Washington,890
Paris,London,68
Paris,San-Francisco,1284
Paris,Tokyo,1440
Paris,Chicago,562
Paris,Istanbul,88
Paris,Helsinki,428
Paris,Rome,41
Paris,Miami,651
Paris,Zurick,154
Tokyo,Moscow,1980
Tokyo,New-York,873
Tokyo,Frankfurt,1282
Tokyo,Washington,1930
Tokyo,London,1564
Tokyo,Portland,1862
Tokyo,San-Francisco,1026
Tokyo,Paris,1440
Tokyo,Chicago,1649
Tokyo,Istanbul,647
Tokyo,Helsinki,1754
Tokyo,Rome,1801
Tokyo,Miami,1662
Tokyo,Zurick,1689
Tashkent,Moscow,160
Tashkent,Istanbul,758
Chicago,New-York,40
Chicago,Frankfurt,582
Chicago,Washington,41
Chicago,Nashville,49
Chicago,London,411
Chicago,Portland,89
Chicago,San-Francisco,89
Chicago,Paris,562
Chicago,Tokyo,1649
Chicago,Istanbul,1065
Chicago,Helsinki,1411
Chicago,Honolulu,292
Chicago,Rome,643
Chicago,Miami,36
Chicago,Zurick,1527
Istanbul,Moscow,141
Istanbul,New-York,1085
Istanbul,Frankfurt,140
Istanbul,Washington,1099
Istanbul,London,69
Istanbul,San-Francisco,1184
Istanbul,Paris,88
Istanbul,Tokyo,647
Istanbul,Tashkent,758
Istanbul,Chicago,1065
Istanbul,Helsinki,331
Istanbul,Rome,130
Istanbul,Miami,678
Istanbul,Zurick,170
Helsinki,Moscow,114
Helsinki,New-York,1297
Helsinki,Frankfurt,237
Helsinki,Washington,1501
Helsinki,London,348
Helsinki,San-Francisco,1280
Helsinki,Paris,428
Helsinki,Tokyo,1754
Helsinki,Chicago,1411
Helsinki,Istanbul,331
Helsinki,Rome,324
Helsinki,Miami,760
Helsinki,Zurick,333
Honolulu,New-York,312
Honolulu,Washington,311
Honolulu,Portland,224
Honolulu,San-Francisco,180
Honolulu,Chicago,292
Honolulu,Miami,460
Rome,Moscow,133
Rome,New-York,422
Rome,Frankfurt,166
Rome,Washington,899
Rome,London,70
Rome,San-Francisco,1073
Rome,Paris,41
Rome,Tokyo,1801
Rome,Chicago,643
Rome,Istanbul,130
Rome,Helsinki,324
Rome,Miami,629
Rome,Zurick,122
Managua,Miami,135
Miami,Moscow,1091
Miami,New-York,77
Miami,Frankfurt,619
Miami,Washington,50
Miami,Nashville,73
Miami,London,418
Miami,Portland,124
Miami,San-Francisco,169
Miami,Paris,651
Miami,Tokyo,1662
Miami,Chicago,36
Miami,Istanbul,678
Miami,Helsinki,760
Miami,Rome,629
Miami,Managua,135
Miami,Zurick,760
Zurick,Moscow,270
Zurick,New-York,899
Zurick,Frankfurt,136
Zurick,Washington,1467
Zurick,London,54
Zurick,San-Francisco,1584
Zurick,Paris,154
Zurick,Tokyo,1689
Zurick,Chicago,1527
Zurick,Istanbul,170
Zurick,Helsinki,333
Zurick,Rome,122
Zurick,Miami,760
